"CategoryID","CategoryName"
6540,"Christina Stürmer"
6541,"Killerpilze"
6542,"Kim Wilde"
6543,"Laith Al-Deen"
6545,"LaFee"
6546,"Lotto King Karl"
6547,"Tocotronic"
6548,"Kelly Clarkson"
6549,"Robin Thicke"
6550,"Chaka Khan"
6552,"The Mission"
6554,"Porcupine Tree"
6555,"Julien Clerc"
6556,"Mark Knopfler"
6558,"Sex Pistols"
6575,"The Charlatans"
6577,"Leon Russell with Blind Boys of Alabama"
6578,"Howard Carpendale"
6580,"Cherry Ghost"
6586,"Korn"
6587,"The Cure"
6590,"Chris Rea"
6592,"Alison Moyet"
6613,"Barbara Schöneberger"
6666,"Powderfinger"
6668,"Marillion"
6691,"Marcus Miller"
6692,"Apocalyptica"
6693,"Moke"
6725,"The Osmonds 50th Anniversary Tour"
6726,"Gary Moore"
6727,"Little Noise Sessions"
6732,"Jimi Hendrix Tribute"
6916,"Hot Chip"
6941,"Beth Hart"
6942,"De Dijk"
6945,"John Prine"
7102,"Electric Six"
7103,"Brand New"
7231,"King Diamond"
7232,"Regina Spektor"
7364,"MTV Europe Music Awards"
7531,"Alicia Keys"
7561,"Puddle of Mudd"
7797,"Dionne Warwick"
7809,"Suffocation"
7810,"The New Pornographers"
7812,"K.D. Lang"
7818,"Hannah Montana"
7881,"New Found Glory"
7961,"Agnostic Front"
7976,"Phil Lesh"
7981,"Ray Charles"
7987,"CSS"
7990,"The Pogues"
7992,"Anouk"
7994,"The Hoosiers"
7995,"The Cat Empire"
8243,"Carlos Santana"
8244,"Newton Faulkner"
8246,"Zazie"
8247,"Calogero"
8248,"Charles Aznavour"
8250,"Kris Kristofferson"
8251,"Aaron"
8252,"Jenifer"
8254,"Yannick Noah"
8255,"Jean Louis Aubert"
8261,"Eels"
8266,"Jamel et le Jamel Comedy Club"
8269,"Duran Duran"
8276,"My Bloody Valentine"
8280,"Christophe Maé"
8281,"Christophe Willem"
8282,"IAM"
8283,"Etienne Daho"
8284,"Boyzone"
8286,"David Hallyday"
8287,"Luke"
8310,"Bundesvision Song Contest"
8311,"Guus Meeuwis"
8353,"Megadeth"
8357,"Joe Satriani"
8358,"The Levellers"
8360,"Max Raabe und das Palast Orchester"
8363,"Die Toten Hosen"
9056,"Scooter"
9060,"Mark Medlock"
9088,"Die Flippers"
9095,"Andy Borg"
9113,"Die Happy"
9114,"Die Prinzen"
9115,"Die Puhdys"
9117,"DJ Bobo"
9118,"J.B.O."
9119,"Madsen"
9199,"Heino"
9200,"Ich und Ich"
9418,"Echo and the Bunnymen"
9424,"Vanessa Paradis"
9425,"Age Tendre et Têtes de Bois"
9426,"Les Têtes Raides"
9724,"Lorie"
9729,"Frédéric François"
10199,"Dany Brillant"
10200,"Jacques Higelin"
10201,"Rachid Taha"
10203,"Dj Krush"
10204,"Paul McCartney"
10205,"James Blunt VIP Auction"
10207,"Radiohead"
10208,"RFM Party 80"
10212,"Jack Penate"
10218,"Les Ogres de Barback"
10224,"Jack Johnson"
10226,"Maceo Parker"
10228,"Katie Melua"
10234,"Backstreet Boys"
10336,"John Barrowman"
10369,"Johnny Hallyday"
10372,"Neil Young"
10373,"Neil Diamond"
10391,"Robert Plant"
10400,"Matchbox Twenty"
10401,"Robin Trower"
10402,"Van Halen"
10411,"Natasha Bedingfield"
10414,"Styx"
10423,"Queensryche"
10431,"Pointer Sisters"
10433,"Abba - The Tribute"
10434,"Ufo"
10435,"Toni Braxton"
10443,"Miguel Bose"
10465,"Skid Row"
10467,"The Chieftains"
10472,"Mary Chapin Carpenter"
10474,"Echo Preisverleihung"
