categoryID,categoryName,spotifyID,spotifyName,spotifyPopularity
4439,buena vista social club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,71
4440,america,35U9lQaRWSQISxQAB94Meo,America,69
4441,journey,7nGYDG6WwUGchc3b9VuqeH,Journey,20
4442,pink martini,6KyUat70qaniuiZq63HzFZ,Pink Martini,63
4443,genesis,0fWgLbBfK89utbecnA1nsi,Genesis,2
4444,barenaked ladies,0dEvJpkqhrcn64d3oI8v79,Barenaked Ladies,70
4445,michael ball,2MISUlPFrBMRlIcazbEOUI,Michael Ball,47
4446,michael bolton,6YHEMoNPbcheiWS2haGzkn,Michael Bolton,69
4447,lemar,7uztWv5UVx4hwcJXCtRyDV,Lemar,50
4456,il divo,3KNZ9AOjBajjmr6ZR2VGfl,Il Divo,66
4459,kings of leon,2qk9voo8llSGYcZ6xrBzKx,Kings Of Leon,84
4461,nelly furtado,2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,77
4462,the fratellis,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,69
4508,elton john,3PhoLpVuITZKcymswpck5b,Elton John,82
4514,ricky gervais,0i4ENXPd4z9kqWd9AeM2gk,Ricky Gervais,32
4515,arcade fire,3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,75
4517,arctic monkeys,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,89
4543,dave matthews band,2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band,77
4546,fall out boy,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,92
4547,rod stewart,2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,83
4548,girls aloud,12EtLdLfJ41vUOoVzPZIUy,Girls Aloud,59
4555,shakira,0EmeFodog0BfCgMzAIvKQp,Shakira,87
4557,tokio hotel,46aNfN89JrOQTCy97GoCHa,Tokio Hotel,64
4559,the rakes,7mDQwcnDUGuSoggxbUtVc1,The Rakes,44
4564,sugababes,7rZNSLWMjTbwdLNskFbzFf,Sugababes,65
4581,bryan ferry,5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry,63
4593,kaiser chiefs,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,68
4595,gloria gaynor,6V6WCgi7waF55bJmylC4H5,Gloria Gaynor,63
4600,ash,2evydP72Z45DouM4uMGsIE,Ash,59
4602,beatsteaks,79qRD2IfSr3pmuYUficMWX,Beatsteaks,63
4607,wet wet wet,2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,59
4608,keith urban,0u2FHSq3ln94y5Q57xazwf,Keith Urban,81
4609,james taylor,1t7WCZachB5pIRP59PgbFT,James Taylor,22
4610,rosenstolz,2nacZFQ7nlwSw4RpsZlbpP,Rosenstolz,53
4611,sportfreunde stiller,5PwcOudItUhq3ciF9QwaXZ,Sportfreunde Stiller,59
4614,the view,5zq7yuFoLJ1QPakq3xh0aM,The View,16
4615,deep purple,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,71
4616,james,4EzkuveR9pLvDVFNx6foYD,James Bay,89
4618,ozzy osbourne,6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,74
4620,noel gallagher,6IRQd80VHepXiTXdmBzk6l,Noel Gallagher,40
4627,simply red,1fa0cOhromAZdq2xRA4vv8,Simply Red,72
4629,chris isaak,7290H8m1Dwt8G7jm1y9CQx,Chris Isaak,65
4630,diana ross,3MdG05syQeRYPPcClLaUGl,Diana Ross,69
4631,rise against,6Wr3hh341P84m3EI8qdn9O,Rise Against,82
4632,joe cocker,3pFCERyEiP5xeN2EsPXhjI,Joe Cocker,72
4633,the police,5NGO30tJxFlKixkPSgXcFE,The Police,76
4634,travis,3bUwxJgNakzYKkqAVgZLlh,Travis,67
4647,sonic youth,5UqTO8smerMvxHYA5xsXb6,Sonic Youth,64
4649,tori amos,1KsASRNugxU85T0u6zSg32,Tori Amos,64
4651,take that,1XgFuvRd7r5g0h844A5ZUQ,Take That,72
4659,pet shop boys,2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,70
4662,"the good, the bad and the queen",6iy8nrBbtL57i4eUttHTww,"The Good, The Bad and The Queen",44
4663,deftones,6Ghvu1VvMGScGpOUJBAHNH,Deftones,74
4664,madeleine peyroux,7nXyULtoL8k7wP9l6kg8Ef,Madeleine Peyroux,64
4665,trivium,278ZYwGhdK6QTzE3MFePnP,Trivium,67
4666,spiritualized,6DKmuXxXASTF6xaJwcTfjv,Spiritualized,58
4667,klaxons,2qlAMLpUyBjZgnzuFXXZXI,Klaxons,60
4668,funeral for a friend,4AbDWrmJPSOeIbT2Ou60ik,Funeral For A Friend,58
4669,omd,4XRHDzv14oJC9JHRFDvlEj,O.M.D.,0
4670,damien rice,14r9dR01KeBLFfylVSKCZQ,Damien Rice,77
4671,runrig,0ddfjKqJfbSiddqOvpZRWu,Runrig,50
4672,ray quinn,6clWMD6KWHjwvB9wKQfhyD,Ray Quinn,6
4673,alexander o'neal,047D9GgqEzyMoULd2oKr7G,Alexander O'Neal,54
4674,christy moore,3Ebn7mKYzD0L3DaUB1gNJZ,Christy Moore,53
4679,donny osmond,5ZEAzHE2TzAwUcOj6jMIgf,Donny Osmond,60
4683,foo fighters,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,86
4690,metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,86
4693,gwen stefani,4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,79
4694,brett anderson,0ndVVO80abvgGgjv2ICzct,Brett Anderson,31
4695,van morrison,44NX2ffIYHr6D4n7RaZF7A,Van Morrison,78
4696,wilco,2QoU3awHVdcHS8LrZEKvSM,Wilco,70
4697,groove armada,67tgMwUfnmqzYsNAtnP6YJ,Groove Armada,65
4708,linkin park,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,89
4709,editors,6e9wIFWhBPHLE9bXK8gtBI,Editors,66
4710,the chemical brothers,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,75
4711,blondie,4tpUmLEVLCGFr93o8hFFIB,Blondie,71
4712,jamie t,3Rsr4Z96O6U3lToOiV3zBh,Jamie T,70
4713,kosheen,5squ8uM6fhMQY71t9xobJC,Kosheen,51
4714,mika,7GrHJC56GkPkDCY1ILMcoC,Mika,35
4720,john legend,5y2Xq6xcjJb2jVM54GHK3t,John Legend,90
4721,loudon wainwright,3loACRmkzdtOMNJEaB6j8L,Loudon Wainwright III,54
4723,kanye west,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,97
4724,wu tang clan,34EP7KEpOjXcM2TCat1ISk,Wu-Tang Clan,74
4725,lou reed,42TFhl7WlMRXiNqzSrnzPL,Lou Reed,71
4726,rufus wainwright,2PfBzriIMRsCXPDtSy9vg8,Rufus Wainwright,64
4735,motley crue,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,72
4736,velvet revolver,7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,61
4746,rem,6FdgwOhDP1kPWChJQqKGA4,REM,6
4747,al green,3dkbV4qihUeMsqN4vBGg93,Al Green,72
4748,bright eyes,5o206eFLx38glA2bb4zqIU,Bright Eyes,70
4749,the hold steady,3qkZBMz5JgmRN9u5wwhRC6,The Hold Steady,53
4751,rush,2Hkut4rAAyrQxRdof7FVJq,Rush,73
4752,simon webbe,3P6nMEGXn0hzBlMndKfLQH,Simon Webbe,46
4753,steely dan,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,69
4754,avril lavigne,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,81
4755,marilyn manson,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,78
4757,roger cicero,2pR1RkvFKvb2KWSjrbCIP2,Roger Cicero,51
4793,maroon 5,04gDigrS5kc9YWfZHwBETP,Maroon 5,97
4798,bon jovi,58lV9VcRSjABbAbfWS6skp,Bon Jovi,81
4799,the hollies,6waa8mKu91GjzD4NlONlNJ,The Hollies,65
4801,joan armatrading,1bdAJUX6JPsnYHbTl5jbk6,Joan Armatrading,54
4802,ray davies,5fGeKXFnTHtRxXakZCeQU5,Ray Davies,12
4803,modest mouse,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,79
4805,mark ronson,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,91
4806,australian pink floyd,6QvBTZOpVhDqw3qFeBagCa,The Australian Pink Floyd Show,32
4809,nas,20qISvAhX20dpIbOOzGK3q,Nas,79
4811,steve vai,32Jb1X3wSmmoHj2epZReZA,Steve Vai,56
4812,silverchair,4iudEcmuPlYNdbP3e1bdn1,Silverchair,65
4813,heroes del silencio,3qAPxVwIQRBuz5ImPUxpZT,Heroes Del Silencio,71
4814,squeeze,3ZFevoK2BMv3HI7uy9sl8u,Squeeze,28
4816,daft punk,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,85
4817,head automatica,2cyaobEho8uxhqLxwG7j6i,Head Automatica,50
4818,norah jones,2Kx7MNY7cI1ENniW7vT30N,Norah Jones,79
4819,happy mondays,339DNkQkuhHKEcHw6oK8f0,Happy Mondays,57
4826,zucchero,2KftmGt9sk1yLjsAoloC3M,Zucchero,67
4833,30 seconds to mars,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,79
4839,barbra streisand,7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,67
4842,mogwai,34UhPkLbtFKRq3nmfFgejG,Mogwai,66
4843,scorpions,0RcZ5zA9UDFDQ1oLv4J9s0,Scorpions,29
4844,cold war kids,6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids,73
4847,anouar brahem,1aO9NulHwrE9pxHXFfCIoM,Anouar Brahem,31
4849,alice cooper,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,70
4851,peter gabriel,7C4sUpWGlTy7IANjruj02I,Peter Gabriel,61
4856,prince,5a2EaR3hamoenG9rDuVn8j,Prince,73
4857,elvis costello & allen toussaint,2Dykcnf1ZUJEJrhHKluAvB,"Elvis Costello, Allen Toussaint And Robbie Robertson",3
4863,ian brown,5EVXQGPBc3NShKZnTZHjHH,Ian Brown,14
4864,john butler trio,6fBF4MULW5yMzyGaon1kUt,John Butler Trio,66
4865,seal,5GtMEZEeFFsuHY8ad4kOxv,Seal,71
4867,gossip,3sFTupo9UGgrujjN21BjwR,Gossip,62
4869,beastie boys,03r4iKL2g2442PT9n2UKsx,Beastie Boys,76
4870,the fray,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,81
4872,gary numan,5KQMtyPE8DCQNUzoNqlEsE,Gary Numan,59
4873,smokey robinson,0h9smro0z3HqUbD94jotU8,Smokey Robinson,57
4874,ryan adams,2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams,76
4875,die fantastischen vier,748dDObrUoBetes0pLj788,Die Fantastischen Vier,62
4878,stereophonics,21UJ7PRWb3Etgsu99f8yo8,Stereophonics,70
4881,the coral,6OiHleP2bHM18dXq4aZQWt,The Coral,59
4883,interpol,3WaJSfKnzc65VDgmj2zU8B,Interpol,73
4884,lauryn hill,3elP7hppV9gTjSKucnXELy,Lauryn Hill,75
4886,smashing pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,76
4887,david sylvian,2oyWkw7sq99yqj12hVUHtw,David Sylvian,54
4889,iggy & the stooges,5uY4l2PU7mZrBv3iU5nSr3,Iggy Pop & The Stooges,6
4890,50 cent,3q7HBObVc0L8jNeTe5Gofh,50 Cent,87
4891,the enemy,74QwPX4ZTCgyzuJBB5VFII,The Enemy,0
4892,celine dion,4S9EykWXhStSc15wEx8QFK,Céline Dion,78
4894,alexisonfire,53RsXctnNmj9oKXvcbvzI2,Alexisonfire,61
4895,the pigeon detectives,7FPkZue0zzjHaOPJb4WCw3,The Pigeon Detectives,54
4896,kt tunstall,5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall,64
4898,ub40,69MEO1AADKg1IZrq2XLzo5,UB40,75
4900,akon,0z4gvV4rjIZ9wHck67ucSV,Akon,84
4901,musiq soulchild,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,68
4902,billy ocean,5IDs1CK15HegSAhGEbSYXo,Billy Ocean,64
4904,status quo,4gIdjgLlvgEOz7MexDZzpM,Status Quo,65
4905,athlete,6C0JkmxU2cgkVzotHJgfW7,Athlete,54
4908,jan delay,4KivBMgSnZ7hCDfPm46fKc,Jan Delay,62
4909,engelbert humperdinck,7mBhwof0k7DfGf6AqrbH4A,Engelbert Humperdinck,24
